Date,Low,Low Change
2022-12-02,191.11,-0.6899999999999977
2022-12-05,180.55,-10.560000000000002
2022-12-06,175.33,-5.219999999999999
2022-12-07,172.22,-3.1100000000000136
2022-12-08,169.06,-3.1599999999999966
2022-12-09,173.36,4.300000000000011
2022-12-12,167.52,-5.840000000000003
2022-12-13,156.91,-10.610000000000014
2022-12-14,155.31,-1.5999999999999943
2022-12-15,153.28,-2.030000000000001
2022-12-16,150.04,-3.240000000000009
2022-12-19,145.82,-4.219999999999999
2022-12-20,137.66,-8.159999999999997
2022-12-21,135.89,-1.7700000000000102
2022-12-22,122.26,-13.629999999999981
2022-12-23,121.02,-1.240000000000009
2022-12-27,108.76,-12.259999999999991
2022-12-28,108.24,-0.5200000000000102
2022-12-29,117.5,9.260000000000005
2022-12-30,119.75,2.25
2023-01-03,104.64,-15.11
2023-01-04,107.52,2.8799999999999955
2023-01-05,107.16,-0.35999999999999943
2023-01-06,101.81,-5.349999999999994
2023-01-09,117.11,15.299999999999997
2023-01-10,114.92,-2.1899999999999977
2023-01-11,120.51,5.590000000000003
2023-01-12,117.0,-3.510000000000005
2023-01-13,115.6,-1.4000000000000057
2023-01-17,125.02,9.420000000000002
2023-01-18,127.01,1.990000000000009
2023-01-19,124.31,-2.700000000000003
2023-01-20,127.35,3.039999999999992
2023-01-23,134.27,6.920000000000016
2023-01-24,141.1,6.829999999999984
2023-01-25,138.07,-3.030000000000001
2023-01-26,154.76,16.689999999999998
2023-01-27,161.17,6.409999999999997
2023-01-30,166.5,5.3300000000000125
2023-01-31,162.78,-3.719999999999999
2023-02-01,169.93,7.150000000000006
2023-02-02,182.61,12.680000000000007
2023-02-03,183.69,1.079999999999984
2023-02-06,189.92,6.22999999999999
2023-02-07,189.55,-0.3699999999999761
2023-02-08,194.31,4.759999999999991
2023-02-09,204.77,10.460000000000008
2023-02-10,192.89,-11.880000000000024
2023-02-13,187.61,-5.279999999999973
2023-02-14,189.44,1.829999999999984
2023-02-15,206.11,16.670000000000016
2023-02-16,201.84,-4.27000000000001
2023-02-17,197.5,-4.340000000000003
2023-02-21,197.22,-0.28000000000000114
2023-02-22,191.78,-5.439999999999998
2023-02-23,196.33,4.550000000000011
2023-02-24,192.8,-3.530000000000001
2023-02-27,201.26,8.45999999999998
2023-02-28,203.75,2.490000000000009
2023-03-01,198.52,-5.22999999999999
2023-03-02,186.01,-12.51000000000002
2023-03-03,192.88,6.8700000000000045
2023-03-06,192.3,-0.5799999999999841
2023-03-07,186.1,-6.200000000000017
2023-03-08,180.0,-6.099999999999994
2023-03-09,172.51,-7.490000000000009
2023-03-10,168.44,-4.069999999999993
2023-03-13,163.91,-4.530000000000001
2023-03-14,177.14,13.22999999999999
2023-03-15,176.03,-1.1099999999999852
2023-03-16,178.84,2.8100000000000023
2023-03-17,177.33,-1.509999999999991
2023-03-20,176.35,-0.9800000000000182
2023-03-21,188.04,11.689999999999998
2023-03-22,190.95,2.9099999999999966
2023-03-23,188.65,-2.299999999999983
2023-03-24,187.15,-1.5
2023-03-27,189.94,2.789999999999992
2023-03-28,185.43,-4.509999999999991
2023-03-29,189.44,4.009999999999991
2023-03-30,194.42,4.97999999999999
2023-03-31,197.2,2.780000000000001
2023-04-03,192.2,-5.0
2023-04-04,190.32,-1.8799999999999955
2023-04-05,183.76,-6.560000000000002
2023-04-06,179.74,-4.019999999999982
2023-04-10,176.11,-3.6299999999999955
2023-04-11,185.65,9.539999999999992
2023-04-12,180.31,-5.340000000000003
2023-04-13,180.94,0.6299999999999955
2023-04-14,182.01,1.0699999999999932
2023-04-17,182.69,0.6800000000000068
2023-04-18,183.58,0.8900000000000148
2023-04-19,177.65,-5.930000000000007
2023-04-20,160.56,-17.090000000000003
2023-04-21,161.32,0.7599999999999909
2023-04-24,158.61,-2.7099999999999795
2023-04-25,158.75,0.13999999999998636
2023-04-26,153.14,-5.610000000000014
2023-04-27,152.37,-0.7699999999999818
2023-04-28,157.32,4.949999999999989
2023-05-01,158.83,1.5100000000000193
2023-05-02,158.93,0.09999999999999432
2023-05-03,159.91,0.9799999999999898
2023-05-04,159.65,-0.2599999999999909
2023-05-05,163.51,3.859999999999985
2023-05-08,169.19,5.680000000000007
2023-05-09,166.56,-2.6299999999999955
2023-05-10,166.68,0.12000000000000455
2023-05-11,166.79,0.10999999999998522
2023-05-12,167.23,0.4399999999999977
2023-05-15,164.55,-2.6799999999999784
2023-05-16,164.35,-0.20000000000001705
2023-05-17,167.19,2.8400000000000034
2023-05-18,172.45,5.259999999999991
2023-05-19,176.31,3.8600000000000136
2023-05-22,180.11,3.8000000000000114
2023-05-23,185.26,5.149999999999977
2023-05-24,178.22,-7.039999999999992
2023-05-25,180.58,2.3600000000000136
2023-05-26,184.53,3.9499999999999886
2023-05-30,197.53,13.0
2023-05-31,195.12,-2.4099999999999966
2023-06-01,199.37,4.25
2023-06-02,209.75,10.379999999999995
2023-06-05,214.52,4.77000000000001
2023-06-06,212.53,-1.990000000000009
2023-06-07,223.2,10.669999999999987
2023-06-08,223.01,-0.18999999999999773
2023-06-09,242.02,19.01000000000002
2023-06-12,244.59,2.569999999999993
2023-06-13,251.34,6.75
2023-06-14,250.5,-0.8400000000000034
2023-06-15,247.29,-3.210000000000008
2023-06-16,257.21,9.919999999999987
2023-06-20,261.12,3.910000000000025
2023-06-21,257.78,-3.340000000000032
2023-06-22,248.25,-9.529999999999973
2023-06-23,252.8,4.550000000000011
2023-06-26,240.7,-12.100000000000023
2023-06-27,240.85,0.15000000000000568
