Date,High,Low,Close
2023-06-14,261.57,250.5,256.79
2023-06-15,258.95,247.29,255.9
2023-06-16,263.6,257.21,260.54
2023-06-20,274.75,261.12,274.45
2023-06-21,276.99,257.78,259.46
2023-06-22,265.0,248.25,264.61
2023-06-23,262.45,252.8,256.6
2023-06-26,258.37,240.7,241.05
2023-06-27,250.39,240.85,250.21
2023-06-28,259.88,248.89,256.24
2023-06-29,260.74,253.61,257.5
2023-06-30,264.45,259.89,261.77
2023-07-03,284.25,275.11,279.82
2023-07-05,283.85,277.6,282.48
2023-07-06,279.97,272.88,276.54
2023-07-07,280.78,273.77,274.43
2023-07-10,277.52,265.1,269.61
2023-07-11,270.9,266.37,269.79
2023-07-12,276.52,271.46,271.99
2023-07-13,279.45,270.6,277.9
2023-07-14,285.3,276.31,281.38
2023-07-17,292.23,283.57,290.38
2023-07-18,295.26,286.01,293.34
2023-07-19,299.29,289.52,291.26
2023-07-20,280.93,261.2,262.9
2023-07-21,268.0,255.8,260.02
2023-07-24,269.85,254.12,269.06
2023-07-25,272.9,265.0,265.28
2023-07-26,268.04,261.75,264.35
2023-07-27,269.13,255.3,255.71
2023-07-28,267.25,258.23,266.44
2023-07-31,269.08,263.78,267.43
2023-08-01,266.47,260.25,261.07
2023-08-02,259.52,250.49,254.11
2023-08-03,260.49,252.0,259.32
2023-08-04,264.77,253.11,253.86
2023-08-07,253.65,242.76,251.45
2023-08-08,250.92,245.01,249.7
2023-08-09,251.1,241.9,242.19
2023-08-10,251.8,243.0,245.34
2023-08-11,243.79,238.02,242.65
2023-08-14,240.66,233.75,239.76
2023-08-15,240.5,232.61,232.96
2023-08-16,233.97,225.38,225.6
2023-08-17,226.74,218.83,219.22
2023-08-18,217.58,212.36,215.49
2023-08-21,232.13,220.58,231.28
2023-08-22,240.82,229.55,233.19
2023-08-23,238.98,229.29,236.86
2023-08-24,238.92,228.18,230.04
2023-08-25,239.0,230.35,238.59
2023-08-28,244.38,235.35,238.82
2023-08-29,257.48,237.77,257.18
2023-08-30,260.51,250.59,256.9
2023-08-31,261.18,255.05,258.08
2023-09-01,259.08,242.01,245.01
2023-09-05,258.0,244.86,256.49
2023-09-06,255.39,245.06,251.92
2023-09-07,252.81,243.27,251.49
2023-09-08,256.52,246.67,248.5
2023-09-11,274.85,260.61,273.58
2023-09-12,278.39,266.6,267.48
2023-09-13,274.98,268.1,271.3
2023-09-14,276.71,270.42,276.04
2023-09-15,278.98,271.0,274.39
2023-09-18,271.44,263.76,265.28
2023-09-19,267.85,261.2,266.5
2023-09-20,273.93,262.46,262.59
2023-09-21,260.86,254.21,255.7
2023-09-22,257.79,244.48,244.88
2023-09-25,247.1,238.31,246.99
2023-09-26,249.55,241.66,244.12
2023-09-27,245.33,234.58,240.5
2023-09-28,247.55,238.65,246.38
2023-09-29,254.77,246.35,250.22
2023-10-02,254.28,242.62,251.6
2023-10-03,250.02,244.45,246.53
2023-10-04,261.86,247.6,261.16
2023-10-05,263.6,256.25,260.05
2023-10-06,261.65,250.65,260.53
2023-10-09,261.36,252.05,259.67
2023-10-10,268.94,257.65,263.62
2023-10-11,268.6,260.9,262.99
2023-10-12,265.41,256.63,258.87
2023-10-13,259.6,250.22,251.12
2023-10-16,255.4,248.48,253.92
2023-10-17,257.18,247.08,254.85
2023-10-18,254.63,242.08,242.68
2023-10-19,230.61,216.78,220.11
2023-10-20,218.86,210.42,211.99
2023-10-23,216.98,202.51,212.08
2023-10-24,222.05,214.11,216.52
2023-10-25,220.1,212.2,212.42
2023-10-26,214.8,204.88,205.76
2023-10-27,212.41,205.77,207.3
2023-10-30,210.88,194.67,197.36
2023-10-31,202.8,194.07,200.84
2023-11-01,205.99,197.85,205.66
2023-11-02,219.2,211.45,218.51
2023-11-03,226.37,218.4,219.96
2023-11-06,226.32,215.0,219.27
2023-11-07,223.12,215.72,222.18
2023-11-08,224.15,217.64,222.11
2023-11-09,220.8,206.68,209.98
2023-11-10,215.38,205.69,214.65
2023-11-13,225.4,211.61,223.71
2023-11-14,238.14,230.72,237.41
2023-11-15,246.7,236.45,242.84
2023-11-16,240.88,230.96,233.59
2023-11-17,237.39,226.54,234.3
2023-11-20,237.1,231.02,235.6
2023-11-21,243.62,233.34,241.2
2023-11-22,244.01,231.4,234.21
2023-11-24,238.75,232.33,235.45
2023-11-27,238.33,232.1,236.08
2023-11-28,247.0,234.01,246.72
2023-11-29,252.75,242.76,244.14
2023-11-30,245.22,236.91,240.08
2023-12-01,240.19,231.9,238.83
2023-12-04,239.37,233.29,235.58
2023-12-05,246.66,233.7,238.72
2023-12-06,246.57,239.17,239.37
2023-12-07,244.08,236.98,242.64
2023-12-08,245.27,239.27,243.84
2023-12-11,243.44,237.45,239.74
2023-12-12,238.99,233.87,237.01
2023-12-13,240.3,228.2,239.29
2023-12-14,253.88,240.79,251.05
2023-12-15,254.13,248.3,253.5
2023-12-18,258.74,251.36,252.08
2023-12-19,258.34,253.01,257.22
2023-12-20,259.84,247.0,247.14
2023-12-21,254.8,248.55,254.5
2023-12-22,258.22,251.37,252.54
2023-12-26,257.97,252.91,256.61
2023-12-27,263.34,257.52,261.44
2023-12-28,265.13,252.71,253.18
2023-12-29,255.19,247.43,248.48
2024-01-02,251.25,244.41,248.42
