Date,High,High Change
2022-12-02,196.25,-2.6699999999999875
2022-12-05,191.27,-4.97999999999999
2022-12-06,183.65,-7.6200000000000045
2022-12-07,179.38,-4.27000000000001
2022-12-08,175.2,-4.180000000000007
2022-12-09,182.5,7.300000000000011
2022-12-12,177.37,-5.1299999999999955
2022-12-13,175.05,-2.319999999999993
2022-12-14,161.62,-13.430000000000007
2022-12-15,160.93,-0.6899999999999977
2022-12-16,160.99,0.060000000000002274
2022-12-19,155.25,-5.740000000000009
2022-12-20,148.47,-6.780000000000001
2022-12-21,141.26,-7.210000000000008
2022-12-22,136.63,-4.6299999999999955
2022-12-23,128.62,-8.009999999999991
2022-12-27,119.67,-8.950000000000003
2022-12-28,116.27,-3.4000000000000057
2022-12-29,123.57,7.299999999999997
2022-12-30,124.48,0.9100000000000108
2023-01-03,118.8,-5.680000000000007
2023-01-04,114.59,-4.209999999999994
2023-01-05,111.75,-2.8400000000000034
2023-01-06,114.39,2.6400000000000006
2023-01-09,123.52,9.129999999999995
2023-01-10,122.76,-0.7599999999999909
2023-01-11,125.95,3.1899999999999977
2023-01-12,124.13,-1.8200000000000074
2023-01-13,122.63,-1.5
2023-01-17,131.7,9.069999999999993
2023-01-18,136.68,4.980000000000018
2023-01-19,129.99,-6.689999999999998
2023-01-20,133.51,3.519999999999982
2023-01-23,145.38,11.870000000000005
2023-01-24,146.5,1.1200000000000045
2023-01-25,146.41,-0.09000000000000341
2023-01-26,161.42,15.009999999999991
2023-01-27,180.68,19.26000000000002
2023-01-30,179.77,-0.9099999999999966
2023-01-31,174.3,-5.469999999999999
2023-02-01,183.81,9.509999999999991
2023-02-02,196.75,12.939999999999998
2023-02-03,199.0,2.25
2023-02-06,198.17,-0.8300000000000125
2023-02-07,197.5,-0.6699999999999875
2023-02-08,203.0,5.5
2023-02-09,214.0,11.0
2023-02-10,206.2,-7.800000000000011
2023-02-13,196.3,-9.899999999999977
2023-02-14,209.82,13.519999999999982
