Date,Close,Close Change
2022-12-02,194.86,0.160000000000025
2022-12-05,182.45,-12.410000000000025
2022-12-06,179.82,-2.6299999999999955
2022-12-07,174.04,-5.780000000000001
2022-12-08,173.44,-0.5999999999999943
2022-12-09,179.05,5.610000000000014
2022-12-12,167.82,-11.230000000000018
2022-12-13,160.95,-6.8700000000000045
2022-12-14,156.8,-4.149999999999977
2022-12-15,157.67,0.8699999999999761
2022-12-16,150.23,-7.439999999999998
2022-12-19,149.87,-0.3599999999999852
2022-12-20,137.8,-12.069999999999993
2022-12-21,137.57,-0.2300000000000182
2022-12-22,125.35,-12.219999999999999
2022-12-23,123.15,-2.1999999999999886
2022-12-27,109.1,-14.050000000000011
2022-12-28,112.71,3.6099999999999994
2022-12-29,121.82,9.11
2022-12-30,123.18,1.3600000000000136
2023-01-03,108.1,-15.080000000000013
2023-01-04,113.64,5.540000000000006
2023-01-05,110.34,-3.299999999999997
2023-01-06,113.06,2.719999999999999
2023-01-09,119.77,6.709999999999994
2023-01-10,118.85,-0.9200000000000017
2023-01-11,123.22,4.3700000000000045
2023-01-12,123.56,0.3400000000000034
2023-01-13,122.4,-1.1599999999999966
2023-01-17,131.49,9.090000000000003
2023-01-18,128.78,-2.710000000000008
2023-01-19,127.17,-1.6099999999999994
2023-01-20,133.42,6.249999999999986
2023-01-23,143.75,10.330000000000013
2023-01-24,143.89,0.13999999999998636
2023-01-25,144.43,0.5400000000000205
2023-01-26,160.27,15.840000000000003
2023-01-27,177.9,17.629999999999995
2023-01-30,166.66,-11.240000000000009
2023-01-31,173.22,6.560000000000002
2023-02-01,181.41,8.189999999999998
2023-02-02,188.27,6.860000000000014
2023-02-03,189.98,1.7099999999999795
2023-02-06,194.76,4.780000000000001
2023-02-07,196.81,2.0500000000000114
2023-02-08,201.29,4.47999999999999
2023-02-09,207.32,6.030000000000001
2023-02-10,196.89,-10.430000000000007
2023-02-13,194.64,-2.25
2023-02-14,209.25,14.610000000000014
2023-02-15,214.24,4.990000000000009
2023-02-16,202.04,-12.200000000000017
2023-02-17,208.31,6.27000000000001
2023-02-21,197.37,-10.939999999999998
2023-02-22,200.86,3.490000000000009
2023-02-23,202.07,1.2099999999999795
2023-02-24,196.88,-5.189999999999998
2023-02-27,207.63,10.75
2023-02-28,205.71,-1.9199999999999875
2023-03-01,202.77,-2.9399999999999977
2023-03-02,190.9,-11.870000000000005
2023-03-03,197.79,6.889999999999986
2023-03-06,193.81,-3.9799999999999898
2023-03-07,187.71,-6.099999999999994
2023-03-08,182.0,-5.710000000000008
2023-03-09,172.92,-9.080000000000013
2023-03-10,173.44,0.5200000000000102
2023-03-13,174.48,1.039999999999992
2023-03-14,183.26,8.780000000000001
2023-03-15,180.45,-2.8100000000000023
2023-03-16,184.13,3.680000000000007
2023-03-17,180.13,-4.0
2023-03-20,183.25,3.1200000000000045
2023-03-21,197.58,14.330000000000013
2023-03-22,191.15,-6.430000000000007
2023-03-23,192.22,1.0699999999999932
2023-03-24,190.41,-1.8100000000000023
2023-03-27,191.81,1.4000000000000057
2023-03-28,189.19,-2.6200000000000045
2023-03-29,193.88,4.689999999999998
2023-03-30,195.28,1.4000000000000057
2023-03-31,207.46,12.180000000000007
2023-04-03,194.77,-12.689999999999998
2023-04-04,192.58,-2.1899999999999977
2023-04-05,185.52,-7.060000000000002
2023-04-06,185.06,-0.46000000000000796
2023-04-10,184.51,-0.5500000000000114
2023-04-11,186.79,2.280000000000001
2023-04-12,180.54,-6.25
2023-04-13,185.9,5.360000000000014
2023-04-14,185.0,-0.9000000000000057
2023-04-17,187.04,2.039999999999992
2023-04-18,184.31,-2.7299999999999898
2023-04-19,180.59,-3.719999999999999
2023-04-20,162.99,-17.599999999999994
2023-04-21,165.08,2.0900000000000034
2023-04-24,162.55,-2.530000000000001
2023-04-25,160.67,-1.8800000000000239
2023-04-26,153.75,-6.9199999999999875
2023-04-27,160.19,6.439999999999998
2023-04-28,164.31,4.1200000000000045
2023-05-01,161.83,-2.4799999999999898
2023-05-02,160.31,-1.5200000000000102
2023-05-03,160.61,0.30000000000001137
2023-05-04,161.2,0.589999999999975
2023-05-05,170.06,8.860000000000014
2023-05-08,171.79,1.7299999999999898
2023-05-09,169.15,-2.6399999999999864
2023-05-10,168.54,-0.6100000000000136
2023-05-11,172.08,3.5400000000000205
2023-05-12,167.98,-4.100000000000023
2023-05-15,166.35,-1.6299999999999955
2023-05-16,166.52,0.17000000000001592
2023-05-17,173.86,7.340000000000003
2023-05-18,176.89,3.0299999999999727
2023-05-19,180.14,3.25
2023-05-22,188.87,8.730000000000018
2023-05-23,185.77,-3.0999999999999943
2023-05-24,182.9,-2.8700000000000045
2023-05-25,184.47,1.5699999999999932
2023-05-26,193.17,8.699999999999989
2023-05-30,201.16,7.990000000000009
2023-05-31,203.93,2.7700000000000102
2023-06-01,207.52,3.5900000000000034
2023-06-02,213.97,6.449999999999989
2023-06-05,217.61,3.640000000000015
2023-06-06,221.31,3.6999999999999886
2023-06-07,224.57,3.259999999999991
2023-06-08,234.86,10.29000000000002
2023-06-09,244.4,9.539999999999992
2023-06-12,249.83,5.430000000000007
2023-06-13,258.71,8.879999999999967
2023-06-14,256.79,-1.919999999999959
2023-06-15,255.9,-0.8900000000000148
2023-06-16,260.54,4.640000000000015
2023-06-20,274.45,13.909999999999968
2023-06-21,259.46,-14.990000000000009
2023-06-22,264.61,5.150000000000034
2023-06-23,256.6,-8.009999999999991
2023-06-26,241.05,-15.550000000000011
